list_place,list_date_time,detail_plaats,detail_datum,stance,language,identifies_as_immigrant
Den Bosch ,30 september 2025 (16:33),Den Bosch,30 september 2025,Against,Other,Yes
Lelystad.,30 september 2025 (16:32),Lelystad.,30 september 2025,Against,English,Unclear
Utrecht ,30 september 2025 (16:32),Utrecht,30 september 2025,Against,Dutch,Unclear
Dordrecht,30 september 2025 (16:28),Dordrecht,30 september 2025,Against,Dutch,Unclear
Alphen,30 september 2025 (16:28),Alphen,30 september 2025,Against,English,Yes
Utrecht,30 september 2025 (16:18),Utrecht,30 september 2025,Against,English,Yes
Arnhem,30 september 2025 (16:16),Arnhem,30 september 2025,Against,English,Yes
Utrecht,30 september 2025 (16:10),Utrecht,30 september 2025,Against,English,Unclear
Leeuwarden,30 september 2025 (16:10),Leeuwarden,30 september 2025,Against,Dutch,Unclear
Rijswijk,30 september 2025 (16:08),Rijswijk,30 september 2025,Against,English,Unclear
Wassenaar,30 september 2025 (16:06),Wassenaar,30 september 2025,Against,Dutch,Yes
Rotterdam,30 september 2025 (16:04),Rotterdam,30 september 2025,Against,English,Yes
Eindhoven,30 september 2025 (16:04),Eindhoven,30 september 2025,Against,Dutch,Unclear
Rotterdam,30 september 2025 (16:03),Rotterdam,30 september 2025,Against,Dutch,Unclear
Heeze,30 september 2025 (16:02),Heeze,30 september 2025,Against,English,Yes
Gouda,30 september 2025 (16:01),Gouda,30 september 2025,Against,English,Yes
Gouda,30 september 2025 (16:01),Gouda,30 september 2025,Against,Dutch,Unclear
Arnhem,30 september 2025 (15:58),Arnhem,30 september 2025,Against,English,Unclear
Utrecht,30 september 2025 (15:57),Utrecht,30 september 2025,Against,Dutch,Yes
Eindhoven,30 september 2025 (15:56),Eindhoven,30 september 2025,Against,English,Yes
Amsterdam,30 september 2025 (15:56),Amsterdam,30 september 2025,Against,Dutch,Unclear
Leiden,30 september 2025 (15:56),Leiden,30 september 2025,Against,Dutch,Unclear
Lelystad,30 september 2025 (15:55),Lelystad,30 september 2025,Against,English,Yes
Eindhoven,30 september 2025 (15:55),Eindhoven,30 september 2025,Against,English,Yes
Den Haag,30 september 2025 (15:54),Den Haag,30 september 2025,Against,English,Yes
Voorschoten,30 september 2025 (15:52),Voorschoten,30 september 2025,Against,Dutch,Yes
Eindhoven,30 september 2025 (15:51),Eindhoven,30 september 2025,Against,Dutch,Yes
Lichtenvoorde,30 september 2025 (15:51),Lichtenvoorde,30 september 2025,For,Dutch,No
Eindhoven,30 september 2025 (15:50),Eindhoven,30 september 2025,Against,English,Yes
Leiden,30 september 2025 (15:49),Leiden,30 september 2025,Against,Dutch,Yes
Den Hague,30 september 2025 (15:48),Den Hague,30 september 2025,Against,English,Yes
Veldhoven,30 september 2025 (15:48),Veldhoven,30 september 2025,Against,English,Yes
Amstelveen,30 september 2025 (15:47),Amstelveen,30 september 2025,Against,Dutch,Yes
Amsterdam ,30 september 2025 (15:44),Amsterdam,30 september 2025,Against,Dutch,Yes
Diemen,30 september 2025 (15:41),Diemen,30 september 2025,Against,English,Yes
Eindhoven ,30 september 2025 (15:35),Eindhoven,30 september 2025,Against,English,Yes
Zwolle,30 september 2025 (15:31),Zwolle,30 september 2025,Against,Dutch,Yes
Amsterdam,30 september 2025 (15:29),Amsterdam,30 september 2025,Against,Dutch,Yes
Amstelveen.,30 september 2025 (15:28),Amstelveen.,30 september 2025,Against,Dutch,Yes
Amersfoort,30 september 2025 (15:25),Amersfoort,30 september 2025,Against,Dutch,Yes
Zierikzee,30 september 2025 (15:22),Zierikzee,30 september 2025,Against,Dutch,Yes
Hoofddorp,30 september 2025 (15:21),Hoofddorp,30 september 2025,Against,English,Yes
Eindhoven,30 september 2025 (15:18),Eindhoven,30 september 2025,Against,English,Yes
Eindhoven,30 september 2025 (15:17),Eindhoven,30 september 2025,Against,English,Unclear
Utrecht,30 september 2025 (15:17),Utrecht,30 september 2025,Against,Dutch,Unclear
Amersfoort ,30 september 2025 (15:16),Amersfoort,30 september 2025,Against,Dutch,Unclear
Rotterdam,30 september 2025 (15:14),Rotterdam,30 september 2025,Against,Dutch,Unclear
"Rosmalen, Netherlands",30 september 2025 (15:11),"Rosmalen, Netherlands",30 september 2025,Against,English,Unclear
Hillegom,30 september 2025 (15:11),Hillegom,30 september 2025,Against,Dutch,Yes
Amsterdam,30 september 2025 (15:11),Amsterdam,30 september 2025,Against,Dutch,Unclear
Zoetermeer ,30 september 2025 (15:10),Zoetermeer,30 september 2025,Against,Dutch,Unclear
Rotterdam,30 september 2025 (15:07),Rotterdam,30 september 2025,Against,English,Unclear
Eindhoven,30 september 2025 (15:07),Eindhoven,30 september 2025,Against,English,Unclear
Eindhoven,30 september 2025 (15:07),Eindhoven,30 september 2025,Against,English,Yes
Haarlem,30 september 2025 (15:03),Haarlem,30 september 2025,Against,Dutch,Yes
Zutphen ,30 september 2025 (15:02),Zutphen,30 september 2025,Against,Dutch,Unclear
Amstelveen,30 september 2025 (15:01),Amstelveen,30 september 2025,Against,Dutch,Unclear
Utrecht,30 september 2025 (15:00),Utrecht,30 september 2025,Against,Dutch,Unclear
Rotterdam ,30 september 2025 (15:00),Rotterdam,30 september 2025,Against,English,Unclear
Amsterdam,30 september 2025 (14:56),Amsterdam,30 september 2025,Against,English,Yes
Haarlem,30 september 2025 (14:56),Haarlem,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (14:55),Amsterdam,30 september 2025,Against,Dutch,Yes
Valkenswaard,30 september 2025 (14:54),Valkenswaard,30 september 2025,Against,English,Unclear
Sittard,30 september 2025 (14:53),Sittard,30 september 2025,Against,English,Unclear
Naarden,30 september 2025 (14:51),Naarden,30 september 2025,Against,Dutch,Yes
Den Haag,30 september 2025 (14:50),Den Haag,30 september 2025,Against,Dutch,Yes
The Hague,30 september 2025 (14:47),The Hague,30 september 2025,Against,English,Yes
Eindhoven,30 september 2025 (14:45),Eindhoven,30 september 2025,For,Dutch,Unclear
Hilversum,30 september 2025 (14:45),Hilversum,30 september 2025,Against,Dutch,Unclear
Eindhoven,30 september 2025 (14:40),Eindhoven,30 september 2025,Against,Dutch,Unclear
Rotterdam,30 september 2025 (14:40),Rotterdam,30 september 2025,For,Dutch,Unclear
Utrecht,30 september 2025 (14:38),Utrecht,30 september 2025,Against,Dutch,Unclear
Zierikzee,30 september 2025 (14:36),Zierikzee,30 september 2025,Against,English,Yes
Anonymous ,30 september 2025 (14:31),Anonymous,30 september 2025,Against,English,Unclear
Julianadorp ,30 september 2025 (14:30),Julianadorp,30 september 2025,Against,Dutch,Unclear
Haarlem,30 september 2025 (14:29),Haarlem,30 september 2025,Against,Dutch,Unclear
Julianadorp ,30 september 2025 (14:29),Julianadorp,30 september 2025,Against,Dutch,Unclear
Zanstaad,30 september 2025 (14:28),Zanstaad,30 september 2025,Against,English,Yes
Groningen ,30 september 2025 (14:26),Groningen,30 september 2025,Against,Dutch,Unclear
Arnhem,30 september 2025 (14:26),Arnhem,30 september 2025,Against,English,Unclear
Haarlem,30 september 2025 (14:22),Haarlem,30 september 2025,Against,Dutch,Unclear
"Purmerend, Netherlands",30 september 2025 (14:20),"Purmerend, Netherlands",30 september 2025,Against,Dutch,Yes
Delft,30 september 2025 (14:19),Delft,30 september 2025,Against,Dutch,Unclear
South Holland,30 september 2025 (14:19),South Holland,30 september 2025,Against,English,Unclear
Utrecht,30 september 2025 (14:18),Utrecht,30 september 2025,Against,Other,Unclear
Leiden,30 september 2025 (14:16),Leiden,30 september 2025,Against,English,Unclear
Breda,30 september 2025 (14:13),Breda,30 september 2025,Against,English,Yes
the Hague,30 september 2025 (14:11),the Hague,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (14:10),Amsterdam,30 september 2025,Against,English,Unclear
Hilversum,30 september 2025 (14:10),Hilversum,30 september 2025,Against,English,Unclear
Dronten,30 september 2025 (14:08),Dronten,30 september 2025,Against,Dutch,Unclear
Spijkenisse ,30 september 2025 (14:07),Spijkenisse,30 september 2025,Against,English,Yes
Lelystad,30 september 2025 (14:07),Lelystad,30 september 2025,Against,English,Yes
Heerhugowaard,30 september 2025 (14:04),Heerhugowaard,30 september 2025,Against,Dutch,Yes
Bodegraven,30 september 2025 (14:04),Bodegraven,30 september 2025,Against,English,Yes
TILBURG,30 september 2025 (14:03),TILBURG,30 september 2025,Against,English,Unclear
Hilversum,30 september 2025 (14:02),Hilversum,30 september 2025,Against,Dutch,Unclear
Eindhoven,30 september 2025 (14:02),Eindhoven,30 september 2025,Against,English,Yes
Waterland ,30 september 2025 (14:01),Waterland,30 september 2025,Against,English,Unclear
Almere,30 september 2025 (13:59),Almere,30 september 2025,Against,English,Yes
Amsterdam ,30 september 2025 (13:58),Amsterdam,30 september 2025,Against,Dutch,Yes
Amsterdam,30 september 2025 (13:57),Amsterdam,30 september 2025,Against,English,Yes
Amsterdam,30 september 2025 (13:57),Amsterdam,30 september 2025,Against,English,Yes
Middenbeemster,30 september 2025 (13:55),Middenbeemster,30 september 2025,For,Dutch,No
Tilburg,30 september 2025 (13:55),Tilburg,30 september 2025,Against,Dutch,Unclear
"Almere, Flevoland",30 september 2025 (13:51),"Almere, Flevoland",30 september 2025,Against,Dutch,Unclear
Almere,30 september 2025 (13:51),Almere,30 september 2025,Against,English,Unclear
Eindhoven,30 september 2025 (13:45),Eindhoven,30 september 2025,Against,English,Unclear
The Hague,30 september 2025 (13:43),The Hague,30 september 2025,Against,English,Yes
Doorn,30 september 2025 (13:42),Doorn,30 september 2025,Against,English,Unclear
Amstelveen,30 september 2025 (13:39),Amstelveen,30 september 2025,Against,English,Yes
Almere,30 september 2025 (13:39),Almere,30 september 2025,Against,English,Unclear
Westzaan,30 september 2025 (13:37),Westzaan,30 september 2025,Against,English,Yes
Almere,30 september 2025 (13:37),Almere,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (13:37),Amsterdam,30 september 2025,Against,Dutch,Unclear
Tiel,30 september 2025 (13:34),Tiel,30 september 2025,Against,English,Unclear
Middelburg,30 september 2025 (13:33),Middelburg,30 september 2025,Against,Dutch,Yes
Alkmaar,30 september 2025 (13:31),Alkmaar,30 september 2025,Against,English,Yes
Utrecht,30 september 2025 (13:31),Utrecht,30 september 2025,Against,Dutch,Unclear
Uithoorn,30 september 2025 (13:31),Uithoorn,30 september 2025,Against,Dutch,Yes
Purmerend,30 september 2025 (13:29),Purmerend,30 september 2025,Against,Dutch,Yes
Helmond,30 september 2025 (13:29),Helmond,30 september 2025,Against,Dutch,Yes
Harmelen,30 september 2025 (13:28),Harmelen,30 september 2025,Against,English,Unclear
Nunspeet,30 september 2025 (13:27),Nunspeet,30 september 2025,Against,Other,Unclear
BEST,30 september 2025 (13:25),BEST,30 september 2025,Against,Dutch,Yes
Amsterdam,30 september 2025 (13:25),Amsterdam,30 september 2025,Against,Dutch,Yes
Rotterdam,30 september 2025 (13:24),Rotterdam,30 september 2025,Against,English,Yes
Den Haag,30 september 2025 (13:22),Den Haag,30 september 2025,Against,English,Unclear
Den Haag,30 september 2025 (13:22),Den Haag,30 september 2025,Against,English,Unclear
Arnhem,30 september 2025 (13:20),Arnhem,30 september 2025,Against,English,Unclear
Eindhoven ,30 september 2025 (13:17),Eindhoven,30 september 2025,Against,English,Yes
Almere,30 september 2025 (13:17),Almere,30 september 2025,Against,English,Unclear
Utrecht,30 september 2025 (13:17),Utrecht,30 september 2025,Against,English,Unclear
Veldhoven,30 september 2025 (13:17),Veldhoven,30 september 2025,Against,Dutch,Yes
Hoofddorp,30 september 2025 (13:14),Hoofddorp,30 september 2025,Against,English,Unclear
The Hague,30 september 2025 (13:14),The Hague,30 september 2025,Against,English,Yes
Amsterdam,30 september 2025 (13:14),Amsterdam,30 september 2025,Against,English,Yes
Amsterdam,30 september 2025 (13:13),Amsterdam,30 september 2025,Against,Dutch,Yes
Utrecht,30 september 2025 (13:09),Utrecht,30 september 2025,Against,Dutch,Yes
Hilversum,30 september 2025 (13:09),Hilversum,30 september 2025,Against,Dutch,Unclear
Eindhoven,30 september 2025 (13:08),Eindhoven,30 september 2025,Against,English,Yes
Utrecht,30 september 2025 (13:05),Utrecht,30 september 2025,Against,English,Yes
Nieuwegein,30 september 2025 (13:01),Nieuwegein,30 september 2025,Against,English,Yes
Haarlem,30 september 2025 (13:01),Haarlem,30 september 2025,Against,English,Yes
Amsterdam,30 september 2025 (12:57),Amsterdam,30 september 2025,Against,Dutch,Yes
Almere,30 september 2025 (12:57),Almere,30 september 2025,Against,Dutch,Yes
HOORN NH,30 september 2025 (12:56),HOORN NH,30 september 2025,Against,Dutch,Yes
Diemen,30 september 2025 (12:53),Diemen,30 september 2025,Against,Dutch,Yes
Den Bosch,30 september 2025 (12:53),Den Bosch,30 september 2025,Against,English,Unclear
Leeuwarden,30 september 2025 (12:51),Leeuwarden,30 september 2025,Against,Dutch,Unclear
Helmond ,30 september 2025 (12:51),Helmond,30 september 2025,Against,English,Unclear
Leiden ,30 september 2025 (12:47),Leiden,30 september 2025,Against,English,Yes
Sint-Michielsgestel,30 september 2025 (12:47),Sint-Michielsgestel,30 september 2025,Against,Dutch,Yes
Purmerend,30 september 2025 (12:46),Purmerend,30 september 2025,Against,Dutch,Unclear
Almere,30 september 2025 (12:43),Almere,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (12:42),Amsterdam,30 september 2025,For,Dutch,No
Zaandam,30 september 2025 (12:42),Zaandam,30 september 2025,Against,English,Unclear
Nieuwegein,30 september 2025 (12:42),Nieuwegein,30 september 2025,Against,English,Yes
Rotterdam,30 september 2025 (12:41),Rotterdam,30 september 2025,Against,Dutch,Yes
Utrecht,30 september 2025 (12:41),Utrecht,30 september 2025,Against,Dutch,Unclear
Lelystad,30 september 2025 (12:40),Lelystad,30 september 2025,Against,English,Yes
Hoorn,30 september 2025 (12:38),Hoorn,30 september 2025,Against,Dutch,Yes
Utrecht,30 september 2025 (12:38),Utrecht,30 september 2025,Against,Dutch,Yes
Utrecht,30 september 2025 (12:38),Utrecht,30 september 2025,Against,Dutch,Yes
Leeuwarden,30 september 2025 (12:37),Leeuwarden,30 september 2025,Against,Dutch,Unclear
Apeldoorn,30 september 2025 (12:36),Apeldoorn,30 september 2025,Against,English,Yes
Rotterdam,30 september 2025 (12:36),Rotterdam,30 september 2025,Against,English,Yes
Amsterdam,30 september 2025 (12:36),Amsterdam,30 september 2025,Against,English,Yes
Vleuten,30 september 2025 (12:35),Vleuten,30 september 2025,Against,English,Unclear
Utrecht,30 september 2025 (12:34),Utrecht,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (12:34),Amsterdam,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (12:34),Amsterdam,30 september 2025,Against,Dutch,Unclear
The Hague,30 september 2025 (12:33),The Hague,30 september 2025,Against,Dutch,Yes
Heemstede,30 september 2025 (12:32),Heemstede,30 september 2025,Against,Dutch,Unclear
Arnhem,30 september 2025 (12:32),Arnhem,30 september 2025,Against,English,Unclear
Amsterdam ,30 september 2025 (12:31),Amsterdam,30 september 2025,Against,Dutch,Yes
Zutphen,30 september 2025 (12:30),Zutphen,30 september 2025,Against,Dutch,Unclear
Purmerend,30 september 2025 (12:25),Purmerend,30 september 2025,Against,Dutch,Unclear
5242EK,30 september 2025 (12:24),5242EK,30 september 2025,Against,Dutch,Yes
Venlo,30 september 2025 (12:22),Venlo,30 september 2025,Against,Dutch,Yes
Utrecht,30 september 2025 (12:14),Utrecht,30 september 2025,Against,Dutch,Yes
Zaandam,30 september 2025 (12:13),Zaandam,30 september 2025,Against,Other,Unclear
Amsterdam,30 september 2025 (12:13),Amsterdam,30 september 2025,Against,English,Yes
Almere,30 september 2025 (12:12),Almere,30 september 2025,Against,Dutch,Unclear
Alphen aan den Rijn,30 september 2025 (12:11),Alphen aan den Rijn,30 september 2025,Against,English,Unclear
Enschede,30 september 2025 (12:11),Enschede,30 september 2025,Against,Dutch,Unclear
Terneuzen ,30 september 2025 (12:10),Terneuzen,30 september 2025,Against,English,Yes
Sittard,30 september 2025 (12:07),Sittard,30 september 2025,Against,Dutch,Unclear
Almere,30 september 2025 (12:04),Almere,30 september 2025,Against,English,Unclear
Amsterdam,30 september 2025 (12:04),Amsterdam,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (12:04),Amsterdam,30 september 2025,Against,English,Yes
Den Haag,30 september 2025 (12:03),Den Haag,30 september 2025,Against,Dutch,Unclear
Tilburg,30 september 2025 (11:58),Tilburg,30 september 2025,Against,English,Unclear
Tilburg,30 september 2025 (11:57),Tilburg,30 september 2025,Against,English,Unclear
Leiden,30 september 2025 (11:54),Leiden,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (11:50),Amsterdam,30 september 2025,Against,English,Yes
Eindhoven ,30 september 2025 (11:48),Eindhoven,30 september 2025,Against,English,Yes
Eindhoven,30 september 2025 (11:48),Eindhoven,30 september 2025,Against,Dutch,Unclear
Nootdorp,30 september 2025 (11:47),Nootdorp,30 september 2025,Against,English,Unclear
Haarlem,30 september 2025 (11:46),Haarlem,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (11:44),Amsterdam,30 september 2025,Against,Dutch,Yes
Den Haag,30 september 2025 (11:43),Den Haag,30 september 2025,Against,English,Yes
Den Haag,30 september 2025 (11:39),Den Haag,30 september 2025,Against,Dutch,Unclear
Purmerend,30 september 2025 (11:37),Purmerend,30 september 2025,Against,Dutch,Yes
Diemen,30 september 2025 (11:37),Diemen,30 september 2025,Against,Dutch,Unclear
Enschede,30 september 2025 (11:35),Enschede,30 september 2025,Against,Dutch,Unclear
Utrecht,30 september 2025 (11:31),Utrecht,30 september 2025,Against,Dutch,Yes
The Hague,30 september 2025 (11:30),The Hague,30 september 2025,Against,English,Unclear
Den Haag,30 september 2025 (11:29),Den Haag,30 september 2025,Against,Dutch,Unclear
Hilversum,30 september 2025 (11:27),Hilversum,30 september 2025,Against,Dutch,Unclear
Utrecht,30 september 2025 (11:23),Utrecht,30 september 2025,Against,Dutch,Unclear
Hooghalen,30 september 2025 (11:22),Hooghalen,30 september 2025,Against,Other,Unclear
Amsterdam,30 september 2025 (11:22),Amsterdam,30 september 2025,Against,Dutch,Yes
Almere,30 september 2025 (11:21),Almere,30 september 2025,Against,Dutch,Yes
Almere,30 september 2025 (11:20),Almere,30 september 2025,Against,English,Unclear
Haarlem,30 september 2025 (11:19),Haarlem,30 september 2025,Against,Dutch,Yes
Leeuwarden,30 september 2025 (11:18),Leeuwarden,30 september 2025,Against,Dutch,Unclear
Rotterdam,30 september 2025 (11:16),Rotterdam,30 september 2025,Against,Dutch,Unclear
Delft,30 september 2025 (11:14),Delft,30 september 2025,Against,English,Unclear
Hoofdrrop ,30 september 2025 (11:14),Hoofdrrop,30 september 2025,Against,English,Yes
Almere,30 september 2025 (11:12),Almere,30 september 2025,Against,English,Unclear
Amsterdam,30 september 2025 (11:09),Amsterdam,30 september 2025,Against,English,Yes
Amsterdam,30 september 2025 (11:07),Amsterdam,30 september 2025,Against,Dutch,Unclear
Almere,30 september 2025 (11:07),Almere,30 september 2025,Against,Dutch,Yes
Leeuwarden,30 september 2025 (11:05),Leeuwarden,30 september 2025,Against,Dutch,Unclear
Rotterdam,30 september 2025 (11:01),Rotterdam,30 september 2025,Against,Dutch,Unclear
Breda,30 september 2025 (10:58),Breda,30 september 2025,Against,English,Unclear
Dordrecht,30 september 2025 (10:57),Dordrecht,30 september 2025,Against,English,Unclear
Nieuwegein,30 september 2025 (10:56),Nieuwegein,30 september 2025,Against,Dutch,Unclear
Spijkenisse ,30 september 2025 (10:56),Spijkenisse,30 september 2025,Against,Dutch,Unclear
Zevenaar,30 september 2025 (10:55),Zevenaar,30 september 2025,Against,English,Yes
Den Haag,30 september 2025 (10:54),Den Haag,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (10:54),Amsterdam,30 september 2025,Against,English,Unclear
Dordrecht,30 september 2025 (10:53),Dordrecht,30 september 2025,Against,Dutch,Unclear
Zaltbommel,30 september 2025 (10:52),Zaltbommel,30 september 2025,Against,English,Yes
Haarlem,30 september 2025 (10:52),Haarlem,30 september 2025,Against,Dutch,Yes
Helmond,30 september 2025 (10:49),Helmond,30 september 2025,Against,Dutch,Yes
Amsterdam,30 september 2025 (10:49),Amsterdam,30 september 2025,Against,Dutch,Unclear
Enschede,30 september 2025 (10:49),Enschede,30 september 2025,Against,English,Yes
Lelystad,30 september 2025 (10:49),Lelystad,30 september 2025,Against,Dutch,Unclear
Tilburg,30 september 2025 (10:47),Tilburg,30 september 2025,Against,English,Unclear
Tilburg,30 september 2025 (10:44),Tilburg,30 september 2025,Against,English,Unclear
Rolde,30 september 2025 (10:42),Rolde,30 september 2025,Against,Dutch,Unclear
Dordrecht,30 september 2025 (10:40),Dordrecht,30 september 2025,Against,English,Unclear
Zaanstad,30 september 2025 (10:39),Zaanstad,30 september 2025,Against,Dutch,Yes
Lelystad,30 september 2025 (10:39),Lelystad,30 september 2025,Against,Other,Unclear
Leeuwarden,30 september 2025 (10:38),Leeuwarden,30 september 2025,Against,Dutch,Unclear
Haarlem,30 september 2025 (10:38),Haarlem,30 september 2025,Against,Dutch,Unclear
Zoetermeer,30 september 2025 (10:35),Zoetermeer,30 september 2025,Against,Dutch,Unclear
Hoofddorp,30 september 2025 (10:35),Hoofddorp,30 september 2025,Against,Dutch,Unclear
Rotterdam,30 september 2025 (10:35),Rotterdam,30 september 2025,Against,English,Unclear
Amsterdam,30 september 2025 (10:31),Amsterdam,30 september 2025,Against,Dutch,Unclear
Rotterdam,30 september 2025 (10:29),Rotterdam,30 september 2025,Against,Dutch,Unclear
Eindhoven,30 september 2025 (10:28),Eindhoven,30 september 2025,Against,English,Unclear
Eindhoven,30 september 2025 (10:28),Eindhoven,30 september 2025,Against,Dutch,No
The Hague,30 september 2025 (10:27),The Hague,30 september 2025,Against,Dutch,Yes
Haarlem,30 september 2025 (10:21),Haarlem,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (10:20),Amsterdam,30 september 2025,Against,Dutch,Unclear
Zaandam,30 september 2025 (10:18),Zaandam,30 september 2025,Against,Dutch,Unclear
Lelystad,30 september 2025 (10:18),Lelystad,30 september 2025,Against,English,Unclear
Utrecht,30 september 2025 (10:17),Utrecht,30 september 2025,Against,Dutch,Yes
Amsterdam,30 september 2025 (10:15),Amsterdam,30 september 2025,Against,Dutch,Yes
Almere,30 september 2025 (10:14),Almere,30 september 2025,Against,Dutch,Unclear
Eindhoven,30 september 2025 (10:11),Eindhoven,30 september 2025,Against,Dutch,Yes
Amsterdam ,30 september 2025 (10:10),Amsterdam,30 september 2025,Against,Dutch,Unclear
Lelystad,30 september 2025 (10:10),Lelystad,30 september 2025,Against,Dutch,Yes
Nijmegen,30 september 2025 (10:09),Nijmegen,30 september 2025,Against,English,Yes
Almere,30 september 2025 (10:09),Almere,30 september 2025,Against,Dutch,Yes
Den Haag,30 september 2025 (10:08),Den Haag,30 september 2025,Against,Dutch,Yes
Almere,30 september 2025 (10:03),Almere,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (10:01),Amsterdam,30 september 2025,Against,Dutch,Unclear
Lelystad,30 september 2025 (09:59),Lelystad,30 september 2025,Against,Dutch,Unclear
Eindhoven.,30 september 2025 (09:57),Eindhoven.,30 september 2025,Against,Dutch,Unclear
Groningen,30 september 2025 (09:57),Groningen,30 september 2025,Against,Dutch,Yes
Zoetermeer,30 september 2025 (09:56),Zoetermeer,30 september 2025,Against,Dutch,Yes
Utrecht,30 september 2025 (09:55),Utrecht,30 september 2025,Against,Dutch,Unclear
Almere,30 september 2025 (09:55),Almere,30 september 2025,Against,English,Unclear
Hoofddorp ,30 september 2025 (09:54),Hoofddorp,30 september 2025,Against,Dutch,Unclear
Lelystad,30 september 2025 (09:53),Lelystad,30 september 2025,Against,English,Yes
Amsterdam,30 september 2025 (09:46),Amsterdam,30 september 2025,Against,Dutch,Unclear
Geldrop,30 september 2025 (09:43),Geldrop,30 september 2025,Against,English,Unclear
Amsterdam,30 september 2025 (09:41),Amsterdam,30 september 2025,Against,Dutch,Unclear
"Haarlem, """,30 september 2025 (09:40),"Haarlem, """,30 september 2025,Against,Dutch,Yes
Zaandam,30 september 2025 (09:35),Zaandam,30 september 2025,Against,English,Unclear
Utrecht,30 september 2025 (09:33),Utrecht,30 september 2025,Against,English,Unclear
Eindhoven,30 september 2025 (09:29),Eindhoven,30 september 2025,Against,English,Unclear
Lelystad ,30 september 2025 (09:28),Lelystad,30 september 2025,Against,English,Unclear
Assendelft,30 september 2025 (09:27),Assendelft,30 september 2025,Against,Dutch,Unclear
Diemen,30 september 2025 (09:26),Diemen,30 september 2025,Against,Dutch,Unclear
Utrecht,30 september 2025 (09:24),Utrecht,30 september 2025,Against,Dutch,Yes
Amsterdam,30 september 2025 (09:23),Amsterdam,30 september 2025,Against,Dutch,Unclear
Netherlands,30 september 2025 (09:16),Netherlands,30 september 2025,Against,English,Yes
Amsterdam,30 september 2025 (09:12),Amsterdam,30 september 2025,Against,Dutch,Yes
Leiden,30 september 2025 (09:10),Leiden,30 september 2025,Against,Dutch,Unclear
Amsterdam,30 september 2025 (09:09),Amsterdam,30 september 2025,Against,Dutch,Unclear
Leiden,30 september 2025 (09:04),Leiden,30 september 2025,Against,Dutch,Yes
Eindhoven,30 september 2025 (09:04),Eindhoven,30 september 2025,Against,Dutch,Unclear
Leersum,30 september 2025 (08:29),Leersum,30 september 2025,Against,Dutch,Unclear
Rijswijk,30 september 2025 (08:28),Rijswijk,30 september 2025,Against,English,Yes
Lelystad,30 september 2025 (08:24),Lelystad,30 september 2025,Against,English,Unclear
AMERSFOORT,30 september 2025 (08:03),AMERSFOORT,30 september 2025,Against,Dutch,Unclear
Almere,30 september 2025 (07:54),Almere,30 september 2025,Against,Dutch,Yes
Weert,30 september 2025 (07:36),Weert,30 september 2025,Against,English,Yes
Almere,30 september 2025 (07:24),Almere,30 september 2025,Against,Dutch,Yes
Zwolle,30 september 2025 (07:11),Zwolle,30 september 2025,Against,Dutch,No
Almere,30 september 2025 (07:03),Almere,30 september 2025,Against,Dutch,Unclear
Eindhoven,30 september 2025 (06:11),Eindhoven,30 september 2025,Against,Dutch,Yes
Utrecht,30 september 2025 (01:25),Utrecht,30 september 2025,Against,Dutch,Yes
Rotterdam,03 oktober 2025 (22:41),Rotterdam,3 oktober 2025,Against,Dutch,Yes
Gilza,03 oktober 2025 (22:40),Gilza,3 oktober 2025,Against,Dutch,Unclear
Amsterdam,03 oktober 2025 (22:35),Amsterdam,3 oktober 2025,Against,Dutch,Yes
Drenthe,03 oktober 2025 (22:32),Drenthe,3 oktober 2025,Against,Dutch,Unclear
Eindhoven,03 oktober 2025 (22:27),Eindhoven,3 oktober 2025,Against,English,Yes
Rotterdam,03 oktober 2025 (22:26),Rotterdam,3 oktober 2025,Against,Dutch,Yes
Voorburg,03 oktober 2025 (22:17),Voorburg,3 oktober 2025,Against,Dutch,Yes
Eindhoven,03 oktober 2025 (22:09),Eindhoven,3 oktober 2025,Against,English,Yes
Utrecht,03 oktober 2025 (22:01),Utrecht,3 oktober 2025,Against,Dutch,Yes
Rotterdam ,03 oktober 2025 (21:58),Rotterdam,3 oktober 2025,Against,English,Yes
Rotterdam,03 oktober 2025 (21:42),Rotterdam,3 oktober 2025,Against,English,Yes
Voorburg,03 oktober 2025 (21:40),Voorburg,3 oktober 2025,Against,Dutch,Unclear
Amsterdam,03 oktober 2025 (21:36),Amsterdam,3 oktober 2025,Against,Dutch,Yes
Rotterdam,03 oktober 2025 (21:35),Rotterdam,3 oktober 2025,Against,English,Yes
